glosa,english
"a (before consonants without h, else prefer ad)",at (location); till; to; towards; up to 
a fini,at last; eventually; finally 
a latu,aside 
a-kron,punctual; till (until); until 
a-nu,hitherto; yet 
ab,away; absent; from; missing (not there); off 
abili,able; ability 
acide,happen; event; circumstance; incident; occur; pass (happen) 
"ad (before vowels and h, else prefer a)",at (location); till; to; towards; up to 
ad-in,into; inward 
adamanta,diamond; very hard 
adi,add 
adora,adore; worship 
aero,air; atmosphere 
aeroplana,aeroplane; airplane 
agenti,agent 
agri,field; countryside; meadowland 
agri-lo,farm 
agri-pe,farmer; agricultural labourer 
plu agri-zoa,cattle 
agrikultura,agriculture 
agrio,wild; savage 
akidi,acid; sour; acute 
akorda,according to; agree; accord; acknowledge; consent; harmonize; league; match (v); treaty; unanimous; undertake; uphold 
akro,top (highest point); climax; end; peak; point (sharp); summit; tip (top) 
akti,act; do; behave; accomplish; action; active; commit; deed; does (form of to do); doing (participle of to do); perform; performance; take action; transact 
akti ma boni de,excel 
akti mali,insult; offence; offend; offense 
aktivi,active; busy; brisk 
aku,nail; needle; pin; prick (v); splinter; tack 
akuto,"sharp; sharpen; shrill; acid (""sharp"" taste); sour (""sharp"" taste) "
alegro,cheerful; jolly; merry 
alelo,each other; mutual 
alexi,defence; defend; defense; guard; look after; protect; protective; safeguard; watch over 
algo,pain; ache; -algia; grief; hurt; painful; sore; suffering 
ali,any (whatever); whatever (any) 
ali kron,ever (at any time); any time 
ali-kron,whenever 
ali-lo,anywhere; wherever (adverb) 
ali-mode,"anyhow (anyway); anyway (anyhow); however (adverb, =in whatever way) "
ali-pe,anyone (whoever); whoever (anyone) 
ali-ra,anything (of every item you care to choose); whatever; whichever 
alkoholi,alcohol; spirit (alcohol) 
alo,or; alternative; either 
alo ... alo,either ... or 
alterna,alternate; although; else 
alti,altitude; high; aloft; height; lofty; tall 
ambasadora,ambassador 
ambula,amble; stroll; walk; walking 
ami,friend; amiable; comrade; friendly; kind (friendly); lovable; warm (friendly) 
amo,love; like (love); affection; approve; approval; kindness; mercy; warm (friendly) 
amorfo,clod; lump; shapeless 
amusa,amuse; amusement; entertain; funny 
amusa-ra,entertainment 
an,he; him; his; male; masculine 
an-,(prefix:) male; male (prefix) 
an-fili,son 
an-galina,cockerel; rooster 
an-regi,king 
an-sibi,brother 
an-sponsa,husband 
ana,upwards; rise (go up); up 
anas,duck (animal) 
andro,man; gentleman; husband 
angeli,angel; messenger 
ankora,still (yet); yet 
ante,ahead; before (place); fore; front; in front 
anti,against; although; despite; hinder; hostile; in spite of; oppose; though; versus 
anti-co,although; but; however (=although it was so); nevertheless; though 
anti-ergo,lazy 
anti-krati,rebel; revolt; treason 
anti-lega,illegal; crime; criminal (adj) 
anti-pe,enemy; foe; opponent 
anua,year; annual; yearly 
anxio,anxiety; anxious; fret; fuss; haggard; uneasiness; uneasy 
aperi,open (adj); open (v) 
apis,bee 
apo,apart; away; remove; delete (computer); erase; pull out; skim; snatch away; subtract; take away; tear out; un-; whisk 
aqa,water (n); irrigate; liquid; soak; water (v); wet 
arca,arch (archway); archway 
area,area; domain; pitch; plot (ground); region 
arena,sand; arena 
argenti,silver 
arki,chief; official (adj); authority; govern; rule (authority) 
arma,arm (v); weapon; armor; armour; arms 
arme,army 
aroga,arrogant; arrogance; haughty; haughtiness; vain 
arti,art; ability; capable; skill 
artikla,article 
artri,joint; juncture 
asilu,asylum; harbor; harbour; haven; port (harbour); refuge; safe place; shelter 
asocia,associate; ally (v); ally (state); ally (person); association; partner 
astro,star 
atende,wait; await; delay; expect; hope; waiting 
atri,court; hall; courtyard; classroom; entrance (hall); hallway; lecture room; yard 
audaci,dare; daring; venture 
audi,hear; listen; hark 
auto,own (self); self; herself; himself; itself; myself; ourselves; themselves; yourself 
auto-kritici,conscience 
auto-lauda,haughty; pride; proud; vanity 
automati,automatic; self-acting 
auxi,help; advantage; aid; assist; grow (something); helpful 
avanti,forward; advance; ahead; forth; move forward ; forwards; onwards; pro 
avi,bird 
babi,baby 
baci,bar; baton; rod; staff (rod); stick (baton) 
baia,bay; creek 
bali,throw; accelerate; cast (throw); dash (throw); fling; hurl; launch; post (send); send; toss 
bali ab,dismiss; dispose 
bali ex,banish; expel 
bali ex landa,exile 
baluna,balloon 
banana,banana 
banda,band; band (strip); bandage; ribbon; strip (band); tape 
banka,bank (money) 
bapti,baptize; dip 
barage (French),barrage; dam (barrier) 
barba,beard; whisker 
basi,grounds; reason (n); base; basis; found (v); proof 
bate,bat; batter; beat; beating; hit; knock; smite; strike (hit); thrash (beat) 
bato,deep (distance); depth (distance); batho- 
beka,beak; peck; spout 
ben ge-ski,familiar 
benca,bench; bank (long seat); long seat 
bene-veni,welcome 
benzina,benzine; gasoline; petrol 
betona,concrete 
bi,two; both; double 
bi (after noun),second (ordinal) 
u bi,pair 
bi kron,twice 
bi-ci bibli,these two books; both books 
bi-ciklo,bicycle 
bi-la bibli,those two books 
bibe,drink (v) 
bibli,book 
bibli-do,library 
bileta,ticket 
bio,life; living; vital 
bira,ale; beer 
bitumino,tar 
blada,blade; knife; dagger 
blasto-tem,spring (season); springtime 
bloka,block; obstruct; writing pad 
blonda,blond; fair 
bola,ball; sphere; throw (n); stroke (n) 
bomba,bomb; shell (bomb) 
bombasti,boast 
boni,good; bonny; fine (good); respectable; well (good) 
boni fortuna,luck 
boni-fortuna,fortunate; fortunately; lucky 
boteka,boutique; shop 
botilia,bottle; flask 
bovi,beef; cow; bovine; ox 
braki,arm 
brevi,short; abbreviate; abbreviation; brief 
brevi digi,thumb 
brevi tem,temporary 
brika,brick 
bronto,thunder; explode 
brosa,brush; broom; scrub; sweep 
bruno,brown; scorch; tan 
buka,cheek; cheeks; mouth 
bulbo,bulb 
buleta,bullet 
buli,boil; bubble 
buli-va,cooking-pot; kettle; saucepan 
buno,hill; mound; mountain 
buro,bureau; office; desk 
buro-pe,clerk; office worker 
bursa,purse; exchange (stock); wallet (for money) 
bus,bus; omnibus 
buta,aim; purpose; butt; goal; intention; object (purpose); score; target; task 
butiri,butter 
butona,button; knob (button); pimple 
campiona,champion 
carma,charm; charming 
carta,chart; map; diagram; graph 
casa,chase (hunt); hunt; hunting; pursue 
cede,cede; yield (give way); yield (cease opposition); abandon (give up); cease opposition; give up; give way; go (cede); retire; surrender; withdraw; do without 
cefa,chief; employer; main; major; master; patron; principal 
cefa vora,dinner 
ceka,cheque 
celebra,celebrate; acclaim; party (celebrate) 
celu,cell (living); cell (prison) 
cementa,cement 
centi,"cent; hundredth; hundred (prefer hekto, take centi for hundredth!) "
centra,center; central; centre; centric; centrical; hub 
Cepa,onion 
cepti,receive; accept; adopt; pick up; take in; take up 
cerka,search; grope; quest; look for; seek 
certa,certain; a certain ; sure 
ceru,wax; beeswax 
ci,here 
ciano,blue; cyanic (blue); sky blue; celestial; heavenly 
cide,kill; murder; slay 
cigareta,cigarette 
ciklo,cycle; wheel; circle; circular 
cinera,ash; ashes; cinder; gray; grey 
cirka,circa; about; about (location); around 
cirkulati,traffic 
ciru,curl; ringlet 
cisori,scissors; shear 
civi,citizen 
civili,civil; polite; courteous; courtesy; meek; mercy 
civiliza,civilization; civilize 
civita,city; town 
-co (Italian. Only in compounds!),the just said 
cokolata,chocolate 
daga,dagger; stab 
dama,subdue; tame 
datu,date (day) 
de,about; belong; concerning; from; in relation to; of; of (concerning); with regard to ; relating to; 's (genitive marker); than 
debi,ought to; should; debt; duty; obligation; ought; owe 
debili,feeble; weak 
decide,decide; decision; determine; determination; judge (v); resolve; settle 
decimali,decimal 
defekti,defect; fault; deficiency; flaw; lack; be lacking ; be missing 
defi,challenge; defy 
deino,terrible; frightful; shock; terror 
deka,ten 
deklara,declare; announce; declaration; deem 
