glosa,english
"a (before consonants without h, else prefer ad) 1++",at (location); till; to; towards; up to 
a boreo 1,northwards 
a fini 1++,at last; eventually; finally 
a kron (=a-kron) 1X,punctual; till (until); until 
a latu 1++,aside 
a plus info 1+*,until further notice 
a pluso info (=a plus info) 1X,until further notice 
a qo-lo? 1+,whither? 
a- (prefer ne-) G,(prefix:) not; not (prefix) 
a-kron 1++,punctual; till (until); until 
a-la 1+,thither 
a-nu 1++,hitherto; yet 
ab 1++,away; absent; from; missing (not there); off 
ab ovo,from start 
ab- 1+,(prefix:) from; from (prefix); (prefix:) apart; apart (prefix) 
"ab-flu (or ""flu ab"") 1+",flow down 
abandona 1,abandon (go away); abandon (give up); abjure; desert (v); leave alone 
abandoni (=abandona) X,abandon (give up); abandon (go away); desert (v) 
abdomina 1,abdomen; belly 
abe 1+,abbey 
Abies 1+,fir; fir tree 
abili 1++,able; ability 
abiso,deep sea 
abjekti,mean (paltry); mean (not nice) 
abjura,abjure 
ablati,remove 
ablepsia,blindness 
abluti,wash away 
aboli,abolish 
abomina,detest 
abona,subscribe 
aborti,abort 
abrazi,scrape 
abrupti,abrupt 
abscisi,cut off 
absenta se 1,truant 
absenti,absent 
abskonde,hide 
absoluti 1,absolute 
absolve,absolve; absolve (from sin or guilt) 
absorba (=sorbe) X,suck in 
abstine,abstain 
abstrakti +,abstract 
absurdi,absurd 
abuka,interconnect 
abunda,abound 
abusi,abuse 
academi (=akademi) 1X,academy 
acede,say yes 
acelera,accelerate 
acende,set alight 
acenta,accent 
acepta (prefer cepti) X,accept 
acepti (prefer cepti),accept 
acer,maple tree 
acerbi,bitter; sour 
acesi +,access (right or opportunity); access (entry); access (get) 
acetabula,socket 
aceti,vinegar 
acide 1++,happen; event; circumstance; incident; occur; pass (happen) 
aciera 1,steel 
acikula,needle; prickle; prickly 
"ad (before vowels and h, else prefer a) 1++",at (location); till; to; towards; up to 
ad an 1,him 
ad e versi 1+,to and fro 
ad hok,ad hoc 
ad libe,ad lib 
ad rem,to the point 
ad- 1+,(prefix:) towards; towards (prefix) 
ad-in 1++,into; inward 
adagio,graceful; slow 
adamanta 1++G,diamond; very hard 
adamanti (=adamanta) X,diamond; very hard 
adapta 1+,adapt; fit 
adelfa G,sister 
adelfo G,brother 
adelo G,unclear 
adenda,added things 
adeno 1,acorn; gland 
adeo,farewell; goodbye 
adepto,adept 
adeqa,suffice 
adhesi +,adhere; adhesive; stick to 
adhesi-ma,paste 
adi 1++,add 
adinami,feeble; weak 
adipo,animal fat 
adito,entrance 
adjace,lie near; local 
adjudika,award 
adjura,adjure 
adjusta +,adjust; adjustment 
adjuta,help 
administra,administrate; manage 
administra-pe,administrator 
admira 1,admiration; admire; praise 
admoni,admonish 
adokula,fix eyes on 
adoleske,grow up 
adonis,dandy 
adopta 1,adopt 
adora 1++,adore; worship 
adorna,adorn 
adorsa,put back 
adresa 1+,address 
adresi (=adresa) 1X,address 
adula,adulate 
adultera,adulterate 
adumbra,adumbrate 
"adusti (=busti, prefer piro) X",burn (v); scorch 
adveni (prefer acide),happen 
adverba +,adverb 
adverbi (=adverba) X,adverb 
adversa,oppose 
adversa-pe,opponent 
adverti,advertise; advertisement; refer to 
advoka,call (v) 
advokato,advocate (n); advocate (v); supporter 
"aegi (=egi, prefer kapri) GX",goat 
aegialo G,shore 
aegis,protection 
"aegroto (=egroto, prefer pato) X",ill; sick 
aeolo G,varied 
"aepio (=epio, prefer alti) GX",tall 
aero 1++G,air; atmosphere 
aero-bio,aerobe 
aero-naut,airman 
aero-navi,airship 
aerodroma 1,aerodrome 
aeroplana 1++,aeroplane; airplane 
aeroplano (=aeroplana) X,aeroplane; airplane 
aeroporto (=aeroportu) X,airport 
aeroportu +,airport 
aeska G,food 
aeskio G,be ashamed 
aeskulus,horse chestnut 
"aestu (=estu, prefer termo) GX",fervor; fervour; heat; passion 
aetrio (=etrio) GX,bright 
afabili,affable 
"afaire (=afera, French) X",business 
afama,famish 
afekta (=afekti) X,affect; pretend 
afekti 1+,affect; affection; be fond of ; loving; pretend 
afektio (=afekti) X,be fond of 
afektuoso (=afekti) X,loving 
afera (French) 1,business 
afia G,touching 
afidavi,affidavit 
afidi G,aphid; greenfly 
afila,sharpen 
afilia,affiliate 
afini,related by marriage 
afirma,assert 
aflikti,afflict 
aflora,outcrop 
aflu,crowd (v) 
afno G,wealth 
afola,madden 
afro 1+G,foam; froth; scum; suds 
afronta,defy 
agalmato,sculpt 
agalmo G,ornament 
agamo G,unmarried 
agano G,gentle 
Agarikus 1,mushroom 
agata G,good 
agati G,agate 
"age (=ago, prefer duce) X",drive; lead 
agenda 1G,agenda; program 
agenti 1++G,agent 
agera,mound 
agili,agile 
agio,exchange 
agiota,speculate 
agita 1+,agitate; stir; stir up 
aglao G,beautiful 
aglomer,gather 
aglutina,stick together 
agmo G,fracture 
agno 1,lamb 
agnosti,agnostic 
ago (prefer duce) 1+,drive; lead 
agoge G,training 
agoni 1+G,agony; contest 
agonisti,competitor 
agora G,market place; square (public) 
-agra G,sudden pain 
agrandi,aggrandize 
agraria,agrarian 
agrava,worsen; make worse 
agrega,mass together 
agresi 1,attack; violate 
agresti,rustic 
agri 1++,field; countryside; meadowland 
agri-do 1,farm-house 
